y,u
-0.495,	305.944
-0.485,	278.096
-0.475,	241.718
-0.465,	235.811
-0.455,	244.998
-0.445,	226.732
-0.435,	227.369
-0.425,	195.166
-0.415,	176.253
-0.405,	207.421
-0.395,	195.479
-0.385,	193.468
-0.375,	186.447
-0.365,	176.049
-0.355,	162.992
-0.345,	166.574
-0.335,	160.751
-0.325,	153.653
-0.315,	160.269
-0.305,	168.580
-0.295,	141.345
-0.275,	139.600
-0.265,	137.156
-0.255,	143.063
-0.245,	145.763
-0.215,	149.402
-0.205,	137.521
-0.195,	144.677
-0.185,	141.580
-0.165,	145.494
-0.155,	147.302
-0.145,	153.526
-0.135,	162.265
-0.125,	160.518
-0.115,	187.470
-0.105,	164.658
-0.095,	164.535
-0.085,	161.850
-0.075,	186.680
-0.065,	188.297
-0.055,	172.293
-0.045,	170.951
-0.035,	188.088
-0.025,	258.818
-0.015,	273.794
-0.005,	293.891
0.005,	313.593
0.015,	298.714
0.025,	313.842
0.035,	312.598
0.045,	325.873
0.055,	305.139
0.065,	296.899
0.075,	278.05
0.085,	252.183
0.095,	246.045
0.105,	215.589
0.115,	209.722
0.125,	177.241
0.135,	187.722
0.145,	179.171
0.155,	168.291
0.165,	137.294
0.175,	144.787
0.195,	141.367
0.245,	163.405
0.255,	180.49
0.265,	167.213
0.275,	167.136
0.285,	197.779
0.295,	199.729
0.305,	185.291
0.315,	195.371
0.325,	196.487
0.335,	206.471
0.345,	199.09
0.355,	206.445
0.365,	209.435
0.375,	206.941
0.385,	220.919
0.395,	205.816
0.405,	222.421
0.415,	235.06
0.425,	244.294
0.435,	240.022
0.445,	256.97
0.455,	273.72
0.465,	279.896
0.475,	277.694
0.485,	278.46
0.495,	286.461
0.505,	284.304
0.515,	299.661