y,u
-0.495,	370.639
-0.485,	330.312
-0.475,	322.281
-0.465,	317.363
-0.455,	293.573
-0.445,	283.332
-0.435,	275.659
-0.425,	262.759
-0.415,	263.277
-0.405,	253.725
-0.395,	248.699
-0.385,	254.602
-0.375,	247.848
-0.365,	230.514
-0.355,	211.272
-0.345,	213.163
-0.335,	206.079
-0.325,	193.815
-0.315,	185.722
-0.305,	185.637
-0.295,	190.705
-0.285,	178.119
-0.275,	189.739
-0.265,	181.590
-0.255,	184.375
-0.245,	175.514
-0.235,	175.041
-0.225,	186.996
-0.215,	207.283
-0.205,	205.387
-0.195,	182.651
-0.185,	178.929
-0.175,	202.021
-0.165,	187.944
-0.155,	188.097
-0.145,	204.807
-0.135,	215.193
-0.125,	198.657
-0.115,	202.625
-0.105,	202.787
-0.095,	216.234
-0.085,	210.365
-0.075,	232.866
-0.065,	206.614
-0.055,	209.921
-0.045,	255.297
-0.035,	221.105
-0.025,	253.554
-0.015,	260.072
-0.005,	307.51
0.005,	345.317
0.015,	365.971
0.025,	397.794
0.035,	374.144
0.045,	387.489
0.055,	389.077
0.065,	347.063
0.075,	346.819
0.085,	337.632
0.095,	289.404
0.105,	246.453
0.115,	250.497
0.125,	247.247
0.135,	237.805
0.145,	227.053
0.155,	212.032
0.165,	200.948
0.175,	242.968
0.185,	234.854
0.195,	205.628
0.205,	203.680
0.215,	206.016
0.225,	215.396
0.235,	189.108
0.285,	178.574
0.295,	206.623
0.305,	217.504
0.315,	237.118
0.325,	247.047
0.335,	239.715
0.345,	248.07
0.355,	250.49
0.365,	280.182
0.375,	286.288
0.385,	279.621
0.395,	279.499
0.405,	292.167
0.415,	305.065
0.425,	296.761
0.435,	287.18
0.445,	323.389
0.455,	303.834
0.465,	325.335
0.475,	350.018
0.485,	354.458
0.495,	351.378