0	1	2	3	4	5	6	7	8	9	10	11	12	13
259.04	240.82	190.91	159.07	167.09	199.71	378.11	194.96	192.06	177.72	175.83	203.39	262.03	327.98
248.73	231.87	186.16	155.49	161.48	196.02	371.94	189.79	186.25	172.41	170.92	197.92	251.99	309.99
253.62	241.03	192.21	160.35	170.12	200.4	387.4	196.94	195.28	179.71	177.33	208.53	259.59	317.71
252.57	237.93	184.03	156.84	162.41	197.39	375.02	191.7	190.92	176.4	173.94	203.3	264.91	324.08
264.44	244.51	196.81	162.13	169.39	203.66	392.02	200.61	195.18	181.89	178.91	209.68	266.32	327.1
257.76	242.71	193.81	162.88	170.12	203.41	383.07	197.26	193.03	174.91	174.96	202.21	259.18	317.99
226.44	215.14	174.33	146.69	154.63	184.38	349.84	178.72	174.8	160.7	156.56	182.1	231.29	285.49
241.28	225.46	181.87	155.47	159.72	194.5	369.24	187.95	183.3	169.31	166.94	194.16	249.71	309.46
248.44	228.64	185.59	151.76	156.96	189.49	357.4	182.74	179.95	164.71	163.35	194.83	242.4	328.2
249.52	226.05	184.12	153.14	155.05	189.66	357.38	182.85	179.34	166.96	167.93	188.21	245.82	304.89